Question,Generated Answer,Correct Answer,Evaluation
Which Windows Registry key is commonly modified to load malicious DLLs for AppInit DLLs on 64-bit systems in Enterprise environments?,B,B,Correct
What is the primary detection method to identify modifications of AppInit_DLLs registry values?,C,C,Correct
Which malware example is known to set LoadAppInit_DLLs in the Registry key to establish persistence?,B,C,Incorrect
Which technique ID corresponds to Event Triggered Execution: AppInit DLLs in the MITRE ATT&CK framework?,A,B,Incorrect
What mitigation strategy is recommended to prevent adversaries from abusing AppInit DLLs?,D,D,Correct
Which of the following API calls could be indicative of a registry key modification linked to T1546.009 (Event Triggered Execution: AppCert DLLs) on the Enterprise platform?,A,A,Correct
Which data source is most appropriate for monitoring DLL loads by processes to detect suspicious activities related to MITRE ATT&CK technique T1546.009 (Event Triggered Execution: AppCert DLLs)?,B,B,Correct
"To mitigate risks associated with the AppCert DLLs within T1546.009, which application control tool could be employed?",A,A,Correct
Which MITRE ATT&CK technique involves using Netsh Helper DLLs to establish persistence?,A,B,Incorrect
What is an appropriate detection strategy for monitoring malicious Netsh Helper DLL activities?,C,C,Correct
"If a security professional needs to identify potentially malicious HKLM\SOFTWARE\Microsoft\Netsh registry key modifications, which data source should they monitor?",D,D,Correct
"In the context of MITRE ATT&CK, which data source is most relevant for detecting Event Triggered Execution via LC_LOAD_DYLIB Addition on enterprise platforms?",D,A,Incorrect
Which mitigation strategy involves allowing applications by known hashes to prevent Event Triggered Execution via LC_LOAD_DYLIB Addition?,B,C,Incorrect
What action can adversaries take to avoid signature checks after modifying a Mach-O binary to load malicious dylibs?,B,B,Correct
"In the context of MITRE ATT&CK for Enterprise, which data source would you monitor to detect the execution of malicious content triggered by an interrupt signal as described in T1546.005 Event Triggered Execution: Trap?",C,D,Incorrect
What is a key difficulty in mitigating the events triggered execution trap technique (T1546.005) as specified in the MITRE ATT&CK framework?,B,B,Correct
What file does an adversary need root permissions to modify to ensure malicious binaries are launched in a GNU/Linux system?,B,B,Correct
Which of the following files is used for configuring a user environment when a bash shell is terminated on a GNU/Linux system?,A,A,Correct
"For macOS Terminal.app using the default shell as zsh, which file is executed to configure the interactive shell environment?",D,D,Correct
What mitigation can be employed to limit adversaries from easily creating user-level persistence by modifying shell configuration scripts?,B,A,Incorrect
Which data source should be monitored to detect the creation of new files potentially related to the execution of malicious shell commands?,C,C,Correct
"In the context of MITRE ATT&CK for Enterprise, which of the following best describes the primary risk associated with T1548.004 (Abuse Elevation Control Mechanism: Elevated Execution with Prompt)?",C,C,Correct
Which of the following mitigation techniques is recommended to reduce the risk associated with T1548.004 on macOS?,C,C,Correct
How can security professionals detect the misuse of the AuthorizationExecuteWithPrivileges API as described in T1548.004?,C,C,Correct
"Which data source is primarily used to detect the modification of registry keys to achieve persistence, according to MITRE ATT&CK?",D,D,Correct
What specific registry keys would you monitor on a Windows system to detect an adversary using Boot or Logon Autostart Execution by adding a program to a startup folder?,C,A,Incorrect
"Which example adversary group added a registry key in HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Svchost to maintain persistence using Cobalt Strike, as per the technique T1547.001?",D,B,Incorrect
Which command-line interface utility is highlighted for interacting with registry to achieve persistence?,B,B,Correct
Which example procedure involves the technique of modifying the Startup folder to ensure malware execution at user logon?,A,A,Correct
"Which detection technique involves monitoring for the creation of new WMI EventFilter, EventConsumer, and FilterToConsumerBinding events? (MITRE ATT&CK ID: T1546.003, Platform: Enterprise)",D,D,Correct
Which of the following MITRE ATT&CK data sources should be monitored to detect changes made to files that enable event-triggered execution via screensaver configuration?,B,B,Correct
"In the context of T1546.002, which mitigation involves using Group Policy?",B,B,Correct
For which procedure example is Gazer known to establish persistence through the system screensaver?,B,B,Correct
Which registry key setting allows an adversary to disable password requirements when unlocking a screensaver?,C,C,Correct
Which registry key should you monitor to detect changes in system file associations that could indicate a T1546.001: Event Triggered Execution: Change Default File Association attack?,A,B,Incorrect
What specific technique does SILENTTRINITY utilize as part of its UAC bypass process according to T1546.001 for the MITRE ATT&CK Enterprise platform?,A,A,Correct
What is a recommended data component for monitoring executed commands that could establish persistence by changing file associations (T1546.001) on the MITRE ATT&CK Enterprise platform?,A,D,Incorrect
"Which group utilizes the Data Protection API (DPAPI) to encrypt payloads tied to specific user accounts on specific machines, according to the MITRE ATT&CK technique T1480.001?",B,A,Incorrect
"In the context of MITRE ATT&CK technique T1480.001, what can be derived to generate a decryption key for an encrypted payload?",A,C,Incorrect
"Under the MITRE ATT&CK technique T1480.001, which malware can store its final payload in the Registry encrypted with a dynamically generated key based on the drive’s serial number?",A,D,Incorrect
"Under the MITRE ATT&CK technique T1480.001, which of the following is true about environmental keying during payload delivery?",B,B,Correct
How does monitoring command execution help detect MITRE ATT&CK technique T1480.001 implementations?,A,B,Incorrect
"According to MITRE ATT&CK technique T1480.001, environmental keying is distinct from typical Virtualization/Sandbox Evasion because it:",D,D,Correct
Which tactic does the MITRE ATT&CK technique T1048.003 pertain to?,B,C,Incorrect
"Which adversary has routines for exfiltration over SMTP, FTP, and HTTP as per T1048.003 examples?",C,A,Incorrect
Which protocol was utilized by APT32's backdoor to exfiltrate data by encoding it in the subdomain field of packets?,D,D,Correct
"What protocol did the adversary group OilRig use to exfiltrate data separately from its primary C2 channel, according to T1048.003 examples?",C,B,Incorrect
Which mitigation technique involves enforcing proxies and using dedicated servers for services such as DNS?,D,B,Incorrect
What data component should be monitored to detect anomalous files that may be exfiltrated over unencrypted protocols?,B,B,Correct
In which scenario would adversaries utilize the technique T1048.002 in the context of exfiltration over network protocols?,B,B,Correct
Which mitigation technique would best prevent data exfiltration over encrypted non-C2 protocols in the enterprise environment?,A,A,Correct
Which of the following MITRE ATT&CK techniques involves exfiltrating data over a symmetrically encrypted non-command-and-control protocol?,B,B,Correct
Which detection technique involves monitoring for newly constructed network connections sent or received by untrusted hosts?,C,C,Correct
"To mitigate exfiltration over a symmetrically encrypted non-C2 protocol, which mitigation strategy advises using network intrusion prevention systems?",B,B,Correct
"In context of MITRE ATT&CK T1048.001, programs utilizing the network that do not normally communicate over the network should be monitored under which detection category?",C,C,Correct
Which technique does the MITRE ATT&CK pattern T1041 encompass?,A,C,Incorrect
"Which malware, according to MITRE ATT&CK T1041, uses HTTP POST requests for exfiltration?",A,A,Correct
Which adversary has utilized the Cobalt Strike C2 beacons for data exfiltration?,C,B,Incorrect
What is the specific defense suggested in MITRE ATT&CK T1041 to prevent exfiltration over C2 channels by using protocol signatures?,C,C,Correct
Which of these malware samples utilize exfiltration via email C2 channels?,B,C,Incorrect
How does BLUELIGHT exfiltrate data according to T1041?,A,B,Incorrect
Which mitigative measure involves preventing the creation of new network adapters related to MITRE ATT&CK technique T1011.001 (Exfiltration Over Bluetooth)?,B,B,Correct
"According to MITRE ATT&CK T1011.001, what is the function of the Flame malware's BeetleJuice module?",No content generated.,A,Incorrect
Which malware is associated with creating a hidden folder to copy files from drives to a removable drive?,B,B,Correct
What is a recommended mitigation technique to prevent exfiltration of sensitive data to USB devices in MITRE ATT&CK Enterprise framework?,C,C,Correct
Which data source should be monitored for detecting newly executed processes when removable media is mounted?,C,B,Incorrect
"In MITRE ATT&CK, which Windows Registry key is manipulated by malware such as BoxCaon to maintain persistence?",A,D,Incorrect
"In the context of MITRE ATT&CK, which SaaS service logs would be most appropriate to review for detecting new webhook configurations? (Platform: Enterprise, ID: T1567.004)",A,B,Incorrect
"Which of the following commands could be indicative of an adversary attempting to create a new webhook configuration in a SaaS service? (Platform: Enterprise, ID: T1567.004)",B,C,Incorrect
"Regarding mitigation strategies for exfiltration via webhooks, which technique is recommended? (Platform: Enterprise, ID: T1567.004)",B,B,Correct
"Which data source is critical for monitoring anomalous traffic patterns that may suggest data exfiltration to a webhook? (Platform: Enterprise, ID: T1567.004)",D,D,Correct
Which detection technique should be used to identify exfiltration attempts to text storage sites?,A,C,Incorrect
"Which MITRE ATT&CK tactic is associated with the technique ""Exfiltration Over Web Service: Exfiltration to Text Storage Sites""? (ID: T1567.003)",D,D,Correct
Which technique ID and full name is associated with exfiltrating data to cloud storage services according to MITRE ATT&CK?,D,D,Correct
"Which of the following procedures is associated with the adversary group ""Earth Lusca""?",A,A,Correct
How did Cinnamon Tempest exfiltrate captured data according to the provided text?,A,D,Incorrect
What mitigation strategy can be employed to prevent unauthorized use of external cloud storage services?,B,B,Correct
What is the primary advantage for adversaries exfiltrating data to a code repository as described in MITRE ATT&CK T1567.001 (Exfiltration Over Web Service: Exfiltration to Code Repository)?,A,C,Incorrect
"According to MITRE ATT&CK T1567.001 (Exfiltration Over Web Service: Exfiltration to Code Repository), which mitigation strategy can be employed to prevent unauthorized use of external services for data exfiltration?",B,C,Incorrect
What type of data source is recommended for detecting command execution that may exfiltrate data to a code repository in MITRE ATT&CK T1567.001 (Exfiltration Over Web Service: Exfiltration to Code Repository)?,B,B,Correct
Which network traffic examination technique can help detect artifacts of common exploit traffic for T1190 - Exploit Public-Facing Application?,C,C,Correct
Which type of vulnerabilities are commonly exploited in the technique T1190 - Exploit Public-Facing Application by threat actors like APT28 and APT41?,A,A,Correct
What is a recommended mitigation strategy for T1190 - Exploit Public-Facing Application to limit the exploited target's access to other system features and processes?,D,D,Correct
Which of the following vulnerabilities has been used by the Dragonfly group (G0035) to exploit public-facing applications for initial access?,A,B,Incorrect
"In the context of T1190 - Exploit Public-Facing Application, what methodology can help in rapidly patching externally exposed applications?",D,A,Incorrect
Which threat actor group has been noted to exploit vulnerabilities such as CVE-2020-5902 for initial access on public-facing applications?,C,B,Incorrect
"What strategy might mitigate the impact of browser-based exploitation, according to MITRE ATT&CK?",B,A,Incorrect
Which of the following threat groups exploited the Microsoft Office vulnerability CVE-2017-11882 in their attacks?,A,C,Incorrect
What is a common tactic used by adversaries to bypass user interaction when exploiting web browsers?,A,A,Correct
Name a mitigation technique recommended to prevent exploitation behavior.,B,B,Correct
Which data sources should be monitored to detect exploitation attempts according to MITRE ATT&CK?,B,D,Incorrect
"Within the context of MITRE ATT&CK, which specific technique is associated with T1212?",A,B,Incorrect
Which mitigation involves using sandboxing to limit the impact of software exploitation?,A,A,Correct
Which of the following techniques is exemplified by MS14-068 targeting Kerberos?,No content generated.,C,Incorrect
What could be an indication of a software exploitation leading to successful compromise according to the detection measures?,C,C,Correct
"Under the MITRE ATT&CK framework, which group has been known to use CVE-2015-4902 to bypass security features for defense evasion?",A,C,Incorrect
Which mitigation technique recommends using tools like the Enhanced Mitigation Experience Toolkit (EMET) to reduce the risk of software exploitation?,B,B,Correct
"What data source and component should be monitored for abnormal behavior indicating possible exploitation for defense evasion, according to MITRE ATT&CK?",A,D,Incorrect
What advantage do adversaries gain by exploiting vulnerabilities in public cloud infrastructures of SaaS applications?,C,C,Correct
What group has leveraged CVE-2021-36934 for privilege escalation according to MITRE ATT&CK’s technique T1068?,A,B,Incorrect
Which adversary is known to have used Bring Your Own Vulnerable Driver (BYOVD) for privilege escalation?,B,B,Correct
Which mitigation strategy involves using security applications such as Windows Defender Exploit Guard (WDEG) to mitigate privilege escalation exploits?,C,C,Correct
"According to MITRE ATT&CK’s technique T1068, which of the following detection sources would be relevant for identifying the load of a known vulnerable driver?",B,B,Correct
Which of the following adversaries has exploited the CVE-2017-0213 vulnerability?,A,D,Incorrect
"According to MITRE ATT&CK’s technique T1068, which mitigation strategy emphasizes the importance of updating software to prevent exploitation?",C,C,Correct
Which MITRE ATT&CK technique involves adversaries exploiting remote services to gain unauthorized access to internal systems?,B,B,Correct
"What is a common method adversaries use to determine if a remote system is vulnerable, in the context of T1210?",B,B,Correct
Which high-value target category is most likely to be exploited for lateral movement in the technique T1210?,C,C,Correct
Which of the following vulnerabilities has Flame exploited for lateral movement according to the document?,C,D,Incorrect
"In the context of technique T1210, which mitigation strategy is specifically aimed at reducing risks from undiscovered vulnerabilities through the use of sandboxing?",C,C,Correct
Which data source is mentioned for detecting software exploits using deep packet inspection in the context of T1210?,B,B,Correct
Which of the following procedures is associated with the use of BITSAdmin to maintain persistence?,A,C,Incorrect
"In the context of MITRE ATT&CK, which technique involves using BITSAdmin to download and execute DLLs?",A,B,Incorrect
Which mitigation strategy is recommended to limit the default BITS job lifetime in Group Policy or by editing specific Registry values?,A,A,Correct
Which adversary group has used BITSAdmin to exfiltrate stolen data from a compromised host?,B,C,Incorrect
Which data source detects new network activity generated by BITS?,C,C,Correct
"Adversaries leveraging external-facing remote services for initial access or persistence is categorized under which MITRE ATT&CK technique? (Technique ID: T1133, External Remote Services, Enterprise)",A,A,Correct
"Which group installed a modified Dropbear SSH client as part of their attack strategy in the 2015 Ukraine Electric Power Attack, according to MITRE ATT&CK? (Technique ID: T1133, External Remote Services, Enterprise)",B,B,Correct
"How did APT41 maintain persistent access to a compromised online billing/payment service? (Technique ID: T1133, External Remote Services, Enterprise)",A,A,Correct
"In the SolarWinds Compromise, which protocol was enabled over HTTP/HTTPS as a backup persistence mechanism using cscript? (Technique ID: T1133, External Remote Services, Enterprise)",C,C,Correct
"Which mitigation strategy involves using strong two-factor or multi-factor authentication for remote service accounts? (Technique ID: T1133, External Remote Services, Enterprise)",C,C,Correct
"What data source should be monitored to detect follow-on activities when authentication to an exposed remote service is not required? (Technique ID: T1133, External Remote Services, Enterprise)",B,C,Incorrect
During which attack was CaddyWiper deployed to wipe files related to OT capabilities?,A,B,Incorrect
Which malware performs an in-depth wipe of the filesystem and attached storage through data overwrite or IOCTLS?,D,C,Incorrect
What distinguishes Data Destruction (T1485) from Disk Content Wipe and Disk Structure Wipe?,A,C,Incorrect
Which group is known for using tools to delete files and folders from victim's desktops and profiles?,D,B,Incorrect
What is a mitigation strategy for Data Destruction (T1485) according to MITRE ATT&CK?,C,C,Correct
Which of the following data sources is NOT used for detecting data destruction activities such as file deletions?,A,C,Incorrect
"In the context of MITRE ATT&CK, which technique ID and name describe the use of encoding systems like ASCII, Unicode, Base64, and MIME for C2 traffic?",B,B,Correct
"Given the procedure example for BADNEWS malware, which transformation does it apply to command and control (C2) traffic?",B,A,Incorrect
Which mitigation strategy (ID and name) is recommended to prevent adversaries from successfully encoding their C2 traffic?,A,D,Incorrect
"Which of the following techniques might adversaries employ to unlock and gain access to manipulate files before encrypting them, as per the MITRE ATT&CK framework?",B,B,Correct
"Which malware has the capability to encrypt Windows devices, Linux devices, and VMware instances according to MITRE ATT&CK?",A,B,Incorrect
Which of these adversary groups has used ransomware to encrypt files using a combination of AES256 and RSA encryption schemes?,B,C,Incorrect
"According to MITRE ATT&CK, which detection method is useful for identifying unexpected network shares being accessed?",D,D,Correct
What is the primary goal of adversaries who leverage technique T1530 (Data from Cloud Storage) under the Collection tactic on the MITRE ATT&CK framework?,B,B,Correct
Scattered Spider (G1015) is known to interact with which types of cloud resources for data collection according to the provided document?,A,D,Incorrect
Which mitigation strategy is described by M1041 (Encrypt Sensitive Information) and what is one of its recommendations?,D,D,Correct
"In the detection section, DS0010 (Cloud Storage) includes monitoring for unusual queries. What additional method does it suggest for identifying suspicious activity?",B,C,Incorrect
Which of the following actions is an example of how AADInternals (S0677) uses technique T1530 (Data from Cloud Storage)?,C,B,Incorrect
"Regarding MITRE ATT&CK technique T1602, which mitigation approach involves separating SNMP traffic from other types of network traffic?",B,B,Correct
"For detecting adversaries attempting to exploit T1602 (Data from Configuration Repository), monitoring which data source would be most effective?",C,B,Incorrect
"In the context of MITRE ATT&CK for Enterprise, which advanced persistent threat (APT) group is known to have collected files from various information repositories?",D,A,Incorrect
Which of the following mitigations recommends the use of multi-factor authentication (MFA) to protect critical and sensitive repositories?,A,C,Incorrect
Which APT group is associated with the use of a custom .NET tool to collect documents from an organization's internal central database?,D,C,Incorrect
"What kind of user accounts should be closely monitored when accessing information repositories, according to the detection recommendations for T1213?",C,C,Correct
Under which MITRE ATT&CK Tactic does the technique ID T1005 fall?,A,A,Correct
Which command interpreter is mentioned as a tool that adversaries might use to gather information from local systems as part of T1005?,A,C,Incorrect
Which of the following procedures is known to collect local data from an infected machine as part of T1005?,A,A,Correct
What type of databases may adversaries search according to T1005?,B,A,Incorrect
What tactic is associated with the MITRE ATT&CK technique ID T1039?,A,C,Incorrect
One of the mitigations states that this kind of attack cannot be easily mitigated. Why?,D,C,Incorrect
Which technique is used by menuPass to collect data from network systems?,B,B,Correct
Which detection method involves monitoring newly constructed network connections to network shares?,D,D,Correct
"According to MITRE ATT&CK, which specific technique (ID and Name) describes the activity of adversaries searching and collecting data from connected removable media?",C,C,Correct
Which data source and data component are crucial for detecting the collection of files from a system's connected removable media according to the provided document?,D,D,Correct
"In the context of T1025 - Data from Removable Media, which of these adversaries has the ability to search for .exe files specifically on USB drives?",No content generated.,B,Incorrect
Which mitigation strategy can restrict access to sensitive data and detect unencrypted sensitive data when dealing with T1025 - Data from Removable Media?,B,B,Correct
What specific capability does the adversary group Gamaredon Group possess concerning removable media as described in the document?,B,C,Incorrect
"Regarding MITRE ATT&CK technique ID T1020.001 – Automated Exfiltration: Traffic Duplication, which cloud-based service supports traffic mirroring?",B,B,Correct
"In the context of MITRE ATT&CK ID T1020.001, which mitigation ID is focused on ensuring that users do not have permissions to create or modify traffic mirrors in cloud environments?",C,D,Incorrect
"Based on MITRE ATT&CK ID T1020.001 concerning Automated Exfiltration: Traffic Duplication, which data source should be monitored to detect anomalous or extraneous network traffic patterns?",B,C,Incorrect
"In the context of MITRE ATT&CK for Enterprise, which mitigation involves implementing IT disaster recovery plans for taking regular data backups?",C,C,Correct
"According to MITRE ATT&CK, which adversary group has been identified with the technique of performing fraudulent transactions to siphon off money incrementally?",C,B,Incorrect
Which MITRE ATT&CK data source would you monitor to detect unexpected deletion of files to manipulate external outcomes or hide activity?,C,A,Incorrect
What specific expertise might an adversary need to effectively manipulate data in complex systems?,C,C,Correct
"In the context of MITRE ATT&CK and ID T1001, which of the following is a method used by adversaries to obfuscate command and control traffic?",A,B,Incorrect
Which attack from the given procedures is known to obfuscate C2 traffic by modifying headers and URL paths?,A,B,Incorrect
"In the context of MITRE ATT&CK, which of the following adversaries is known to stage data in password-protected archives prior to exfiltration?",A,A,Correct
"Regarding the Data Staged technique (ID: T1074), which mitigation strategy is suggested to detect actions related to file compression or encryption in a staging location?",B,B,Correct
"Under the Data Staged technique (ID: T1074), how does Kobalos stage collected data prior to exfiltration?",A,B,Incorrect
"When detecting the Data Staged technique (ID: T1074), which data component of the Command data source should be monitored?",C,A,Incorrect
"In the context of MITRE ATT&CK T1030 (Data Transfer Size Limits), which group's method emphasizes exfiltrating files in chunks smaller than 1MB?",A,A,Correct
"Which adversary technique, identified as T1030, involves dividing files if the size is 0x1000000 bytes or more?",A,B,Incorrect
Which attack pattern under T1030 exfiltrates data in compressed chunks if a message is larger than 4096 bytes?,D,C,Incorrect
"Under MITRE ATT&CK ID T1030, which threat actor splits encrypted archives containing stolen files into 3MB parts?",B,D,Incorrect
"According to mitigation strategies for T1030, what does M1031 recommend for detecting adversary command and control infrastructure?",B,C,Incorrect
"According to MITRE ATT&CK, which technique ID corresponds to Debugger Evasion?",C,C,Correct
"Within MITRE ATT&CK, what API function is commonly utilized by adversaries to check for the presence of a debugger?",A,D,Incorrect
Which of the following procedures demonstrates the use of the CheckRemoteDebuggerPresent function to evade debuggers?,D,A,Incorrect
What type of flag does the DarkGate malware check to determine if it is being debugged?,A,A,Correct
How might adversaries flood debugger logs to evade detection?,A,A,Correct
Which of the following MITRE ATT&CK tactic categories does the technique T1491 (Defacement) fall under?,C,C,Correct
"Regarding the detection methods for technique T1491 (Defacement), which data source would you monitor for newly constructed visual content?",B,B,Correct
Which of the following adversary behaviors is associated with Technique T1140 in the MITRE ATT&CK framework?,B,B,Correct
"In which scenario is the command certutil -decode most likely used, according to Technique T1140?",B,B,Correct
"What is a common method used by adversaries to decode or deobfuscate information, as described in Technique T1140?",B,B,Correct
"Which tool, according to Technique T1140, has been used by adversaries to decode base64 encoded binaries concealed in certificate files?",C,C,Correct
"If a security professional detects the execution of new processes that could be linked to hiding artifacts, which data source should they particularly monitor according to the detection guidelines for Technique T1140?",D,C,Incorrect
"According to MITRE ATT&CK Technique T1140, which Event ID is relevant for detecting the creation of processes like CertUtil.exe for possible malicious decoding activities?",A,B,Incorrect
"In a Kubernetes environment, what is the primary tactic adversaries might use to access other containers running on the same node?",C,C,Correct
Which technique is commonly used by adversaries to deploy containers for malicious purposes?,A,B,Incorrect
What measure can be employed to limit communications with the container service to secure channels?,B,D,Incorrect
Which detection source would be most effective to monitor for unexpected modifications in Kubernetes pods that might indicate a container deployment?,C,C,Correct
How can the use of network segmentation help mitigate threats related to container deployments?,D,D,Correct
"Which technique in MITRE ATT&CK involves adversaries building capabilities such as malware, exploits, and self-signed certificates?",C,C,Correct
What type of toolkit did Kimsuky create and use according to the procedure examples in T1587?,C,C,Correct
Why is the technique T1587 difficult to mitigate proactively according to the given document?,C,C,Correct
Which data source can be leveraged to identify additional malware samples and development patterns over time under T1587?,C,C,Correct
"In MITRE ATT&CK technique T1652 (Device Driver Discovery), which of the following tools could be used by adversaries to enumerate device drivers on a Windows host?",C,C,Correct
"According to MITRE ATT&CK technique T1652 (Device Driver Discovery), which data source is recommended for detecting potentially malicious enumeration of device drivers through API calls?",A,B,Incorrect
"Which malware, as per the MITRE ATT&CK technique T1652 (Device Driver Discovery), is known to enumerate device drivers located in the registry at HKLM\Software\WBEM\WDM?",B,B,Correct
Which tactic does the MITRE ATT&CK technique T1020 belong to?,B,A,Incorrect
What kind of exfiltration method does CosmicDuke (S0050) employ according to the MITRE ATT&CK documentation?,B,A,Incorrect
Which entity is associated with the automatic exfiltration of data to Dropbox as per MITRE ATT&CK technique T1020 examples?,A,B,Incorrect
What is one way to detect the use of automated exfiltration techniques?,A,A,Correct
"During the Frankenstein campaign (C0001), which tool was used for automatic exfiltration back to the adversary's C2 according to MITRE ATT&CK documentation?",B,B,Correct
Which of the following utilities is used by the Scattered Spider group for creating volume shadow copies of virtual domain controller disks?,A,C,Incorrect
Which mitigation strategy involves ensuring that only specific accounts can configure and manage backups?,C,C,Correct
"According to the document, what data component should be monitored to detect command execution related to Direct Volume Access?",D,B,Incorrect
"In the context of MITRE ATT&CK technique T1484 (Domain or Tenant Policy Modification) on any platform, which is a typical example of malicious activity?",A,B,Incorrect
Which mitigation strategy is recommended for securing against T1484 (Domain or Tenant Policy Modification) in an enterprise Active Directory environment?,B,B,Correct
"To detect potential misuse under the MITRE ATT&CK technique T1484, which of the following logs would be most useful?",C,C,Correct
What specific auditing tool is mentioned for identifying GPO permissions abuse opportunities under the MITRE ATT&CK technique T1484?,B,B,Correct
What command can be used for Domain Trust Discovery specifically with nltest?,B,D,Incorrect
Which of the following tools utilizes LDAP queries and nltest /domain_trusts for domain trust discovery as per the MITRE ATT&CK framework?,D,B,Incorrect
"Among the attack procedures, which one uses a PowerShell cmdlet Get-AcceptedDomain for domain trust enumeration?",A,D,Incorrect
Which procedure/example specifically mentions using both AdFind and the Nltest utility to enumerate Active Directory trusts?,B,A,Incorrect
What is a possible mitigation strategy for Domain Trust Discovery in multi-domain/forest environments?,B,B,Correct
Which technique involves adversaries targeting a user's web browser for exploitation without targeting the external facing applications directly?,A,A,Correct
Which APT group used watering hole attacks and zero-day exploits to gain initial access within a specific IP range?,A,B,Incorrect
What mitigation technique involves using browser sandboxes to limit the impact of exploitation?,B,B,Correct
Which data source is used to detect abnormal behaviors of browser processes indicating a potential compromise?,B,B,Correct
APT19 is noted for compromising which high-profile website to perform a watering hole attack?,A,A,Correct
Which APT group is noted for employing a profiler called RICECURRY to profile a victim's web browser during a strategic web compromise?,A,C,Incorrect
"In the context of MITRE ATT&CK, which adversary technique involves dynamically establishing connections to command and control infrastructure?",A,C,Incorrect
What adversary group is known for re-registering a ClouDNS dynamic DNS subdomain which was previously used by ANDROMEDA?,B,C,Incorrect
Which malware can be configured to utilize dynamic DNS for command and control communications?,D,D,Correct
Which of the following procedures involves using Bitcoin blockchain transaction data for resolving C2 server IP addresses?,A,A,Correct
"Which MITRE ATT&CK tactic does T1584.007 - Compromise Infrastructure: Serverless, belong to?",D,D,Correct
"Within the MITRE ATT&CK framework, which of the following groups has utilized a large-scale botnet targeting Small Office/Home Office (SOHO) network devices? (ID: T1584.005 - Enterprise)",D,C,Incorrect
Which of the following describes a mitigation difficulty for adversaries using technique T1584.005 (Enterprise) involving botnets?,C,C,Correct
"Which adversary has compromised legitimate websites to host C2 and malware modules, according to the MITRE ATT&CK technique T1584.004 (Compromise Infrastructure: Server)?",C,B,Incorrect
"In the context of MITRE ATT&CK T1584.004 (Compromise Infrastructure: Server), which group is known for using compromised PRTG servers from other organizations for C2?",A,C,Incorrect
"According to the detection guidance for MITRE ATT&CK T1584.004 (Compromise Infrastructure: Server), what can internet scans reveal when adversaries compromise servers?",B,B,Correct
Which MITRE ATT&CK T1584.004 (Compromise Infrastructure: Server) threat actor has compromised websites to serve fake updates via legitimate sites?,B,B,Correct
"Given the MITRE ATT&CK technique T1584.003 ""Compromise Infrastructure: Virtual Private Server,"" which detection method could reveal adversaries' VPS usage after they have provisioned software for Command and Control purposes?",A,C,Incorrect
"What is a key challenge in mitigating the use of compromised Virtual Private Servers (VPSs) by adversaries for infrastructure purposes, according to the MITRE ATT&CK technique T1584.003?",C,C,Correct
"According to the Procedure Examples for MITRE ATT&CK technique T1584.003, which threat group has been reported to use compromised VPS infrastructure from Iranian threat actors?",C,A,Incorrect
Which mitigation strategy is identified for MITRE ATT&CK technique T1584.002 (Compromise Infrastructure: DNS Server)?,B,C,Incorrect
How do adversaries leverage compromised DNS servers according to T1584.002?,C,C,Correct
What kind of DNS data sources are recommended for detection in T1584.002?,A,A,Correct
"Which adversary group compromised domains to distribute malware, according to MITRE ATT&CK’s T1584.001 technique?",B,B,Correct
What Tactic does the MITRE ATT&CK technique T1584.001 fall under?,D,D,Correct
Why is domain registration hijacking attractive to adversaries?,B,C,Incorrect
"During the SolarWinds Compromise, which adversary group used the Compromise Infrastructure: Domains technique for their C2 infrastructure?",A,A,Correct
Which mitigation strategy might help in reducing the impact of the Compromise Infrastructure: Domains technique?,A,D,Incorrect
Which service can Hildegard abuse to execute commands within a Kubernetes environment?,No content generated.,C,Incorrect
Which mitigation strategy focuses on preventing unauthorized command execution within a container by restricting file system changes?,C,C,Correct
"If an adversary has sufficient permissions, which command can they use to execute commands in a Kubernetes cluster?",A,A,Correct
"Which specific attack technique does T1609 (Container Administration Command) enhance the risk of, when applied to Kubernetes?",C,D,Incorrect
"To restrict user privileges to specific namespaces in Kubernetes, which practice should you avoid?",A,A,Correct
"In the context of MITRE ATT&CK Technique T1613 (Container and Resource Discovery) for Enterprise environments, which command was reported to be used by adversary TeamTNT for checking running containers in their operations?",B,B,Correct
Which specific mitigation strategy focuses on limiting access to the container environment's APIs to managed and secure channels?,A,A,Correct
Which adversary tool is known for utilizing the 'masscan' utility to search for additional running containers via kubelets and the kubelet API?,B,C,Incorrect
Which technique involves adversaries creating cloud accounts to maintain access to victim systems?,B,B,Correct
"In the context of creating new cloud accounts, which cloud provider uses the term 'service principals' and 'managed identities'?",C,C,Correct
Which group is known for creating global admin accounts in targeted organizations for persistence based on MITRE ATT&CK technique T1136.003?,A,C,Incorrect
What is one detection method for identifying unusual new cloud account creation per MITRE ATT&CK technique T1136.003?,D,D,Correct
"Given the tactic of Persistence and focusing on MITRE ATT&CK technique T1136.002, which of the following tools is not explicitly mentioned as capable of creating domain accounts?",B,D,Incorrect
Which Incident is associated with the Sandworm Team creating privileged domain accounts used for lateral movement?,A,B,Incorrect
Which mitigation tactic specifically suggests using multi-factor authentication (MFA) to safeguard against tactic T1136.002?,D,D,Correct
Which data source should be monitored for the command `net user /add /domain` to detect potential unauthorized account creation?,C,B,Incorrect
What technique ID and name pertains to the adversary's ability to capture audio from an infected host using system peripherals or applications?,B,B,Correct
